RTweet_Fvrt,Life_time(days)
6264,0.1598958333
5325,0.3209143519
6259,0.1597800926
5322,0.3194791667
6257,0.1596990741
6254,0.1594328704
5320,0.3193981481
6251,0.1593402778
5318,0.3182291667
6246,0.1590972222
5316,0.3181712963
6243,0.1586111111
5312,0.317974537
6235,0.1581018519
5309,0.3175578704
6233,0.1580671296
5307,0.317037037
6230,0.157974537
5305,0.3166203704
6227,0.1579398148
5299,0.3136111111
6222,0.1576041667
5296,0.312974537
6216,0.1571990741
5293,0.3112962963
6214,0.1569328704
5291,0.3112384259
6212,0.1568981481
5287,0.3109490741
6206,0.1567592593
5285,0.3106944444
6203,0.1566666667
5280,0.3102893519
6201,0.1566319444
5276,0.3098148148
6197,0.1562731481
5274,0.3097685185
6194,0.1560300926
5272,0.3097685185
6189,0.1558912037
5266,0.3056018519
6186,0.1556944444
6183,0.1556712963
6179,0.1556365741
6177,0.1555324074
5254,0.302337963
6175,0.1555208333
5250,0.3015393519
6169,0.1550578704
6163,0.1547337963
5244,0.2992361111
6160,0.1544907407
5240,0.2991435185
6157,0.1543865741
6152,0.1541435185
5235,0.298125
6148,0.1534722222
5233,0.2971875
6141,0.1526157407
5229,0.2970717593
6139,0.1526041667
5225,0.2965740741
6136,0.1524421296
6133,0.1521412037
5217,0.2915856481
6130,0.1517361111
6128,0.1516898148
5208,0.2889699074
6124,0.1516550926
5204,0.2873958333
6120,0.1514351852
5201,0.2871875
6115,0.1511226852
5199,0.2871759259
6109,0.1509837963
5197,0.2862847222
6104,0.1505208333
5193,0.2855439815
6102,0.1504976852
5189,0.2849884259
5187,0.2849305556
6095,0.1499189815
6087,0.1495717593
5183,0.2844328704
6085,0.1494675926
5181,0.2842013889
6078,0.1487847222
5179,0.2839236111
6073,0.1483333333
5176,0.2838425926
6063,0.1478125
5174,0.2834490741
6061,0.1477777778
5170,0.2825694444
6055,0.1473032407
5168,0.2823842593
5164,0.2797685185
5161,0.279537037
5158,0.2790046296
5150,0.2764583333
5147,0.2763541667
5142,0.2751736111
5138,0.2743287037
5132,0.2732638889
5128,0.2720949074
5126,0.2719097222
6007,0.1443518519
5123,0.2718865741
6004,0.1439236111
5120,0.2717939815
5994,0.1427546296
5115,0.2702777778
5986,0.1422569444
5113,0.2690509259
5984,0.1422337963
5109,0.2687962963
5980,0.142037037
5104,0.2683101852
5978,0.1420138889
5100,0.2671527778
5972,0.1417939815
5096,0.2668055556
5967,0.1414467593
5092,0.2661574074
5963,0.1412615741
5089,0.266087963
5959,0.1410416667
5086,0.2653356481
5954,0.1408101852
5083,0.2647569444
5952,0.1407175926
5081,0.2646527778
5949,0.1403472222
5079,0.262962963
5946,0.1402430556
5075,0.2620601852
5942,0.1401388889
5070,0.2614930556
5937,0.1400925926
5064,0.2594444444
5931,0.1397453704
5062,0.2573842593
5925,0.1392592593
5058,0.25625
5923,0.139224537
5056,0.2560416667
5919,0.1391319444
5054,0.2550347222
5917,0.1390162037
5915,0.1389699074
5047,0.2544675926
5899,0.1378472222
5045,0.2542708333
5897,0.1376967593
5043,0.2540509259
5892,0.1371875
5039,0.2540046296
5888,0.1369675926
5036,0.253912037
5883,0.1367708333
5032,0.2529976852
5872,0.135787037
5030,0.2528009259
5867,0.1355092593
